DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2003-04-01,431.4800816
Daman,2,25,Daman & Diu,495,2003-04-01,408.5048274
Diu,1,25,Daman & Diu,494,2003-04-01,380.0954178
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2003-04-01,523.6196806
North Goa,1,30,Goa,585,2003-04-01,544.495672
South Goa,2,30,Goa,586,2003-04-01,530.5640319
Lakshadweep,1,31,Lakshadweep,587,2003-04-01,444.4950211
Data Not Available,99,99,Jammu & Kashmir,0,2003-04-01,260.5898112
Pulwama,12,1,Jammu & Kashmir,12,2003-04-01,254.8625172
Punch,5,1,Jammu & Kashmir,5,2003-04-01,332.8493172
Rajouri,6,1,Jammu & Kashmir,6,2003-04-01,376.2360818
Anantnag,14,1,Jammu & Kashmir,14,2003-04-01,257.7231369
Badgam,2,1,Jammu & Kashmir,2,2003-04-01,273.7249937
Bandipore,9,1,Jammu & Kashmir,9,2003-04-01,334.9075685
Baramula,8,1,Jammu & Kashmir,8,2003-04-01,347.2248024
Doda,16,1,Jammu & Kashmir,16,2003-04-01,234.385109
Ganderbal,11,1,Jammu & Kashmir,11,2003-04-01,314.1580078
Jammu,21,1,Jammu & Kashmir,21,2003-04-01,391.6154682
Kargil,4,1,Jammu & Kashmir,4,2003-04-01,40.9044861
Kathua,7,1,Jammu & Kashmir,7,2003-04-01,324.9608139
Kishtwar,18,1,Jammu & Kashmir,18,2003-04-01,271.8129532
Kulgam,15,1,Jammu & Kashmir,15,2003-04-01,287.2473111
Kupwara,1,1,Jammu & Kashmir,1,2003-04-01,283.2297447
Leh (ladakh),3,1,Jammu & Kashmir,3,2003-04-01,21.49105637
Ramban,17,1,Jammu & Kashmir,17,2003-04-01,271.1692432
Reasi,20,1,Jammu & Kashmir,20,2003-04-01,350.6798416
Samba,22,1,Jammu & Kashmir,22,2003-04-01,368.4876404
Shupiyan,13,1,Jammu & Kashmir,13,2003-04-01,307.7892521
Srinagar,10,1,Jammu & Kashmir,10,2003-04-01,253.0979198
Udhampur,19,1,Jammu & Kashmir,19,2003-04-01,299.4129264
Bilaspur,8,2,Himachal Pradesh,30,2003-04-01,356.1364693
Chamba,1,2,Himachal Pradesh,23,2003-04-01,296.9145948
Hamirpur,6,2,Himachal Pradesh,28,2003-04-01,343.2558255
Kangra,2,2,Himachal Pradesh,24,2003-04-01,319.9661581
Kinnaur,12,2,Himachal Pradesh,34,2003-04-01,138.9978084
Kullu,4,2,Himachal Pradesh,26,2003-04-01,276.9003862
Lahul & Spiti,3,2,Himachal Pradesh,25,2003-04-01,19.81857236
Mandi,5,2,Himachal Pradesh,27,2003-04-01,314.49824
Shimla,11,2,Himachal Pradesh,33,2003-04-01,290.9613411
Sirmaur,10,2,Himachal Pradesh,32,2003-04-01,390.829248
Solan,9,2,Himachal Pradesh,31,2003-04-01,374.2642359
Una,7,2,Himachal Pradesh,29,2003-04-01,369.5876556
Muktsar,10,3,Punjab,44,2003-04-01,479.076852
Patiala,14,3,Punjab,48,2003-04-01,458.3967716
Amritsar,15,3,Punjab,49,2003-04-01,417.6556724
Barnala,20,3,Punjab,54,2003-04-01,471.970056
Bathinda,12,3,Punjab,46,2003-04-01,450.4737045
Faridkot,11,3,Punjab,45,2003-04-01,496.8629779
Fatehgarh Sahib,6,3,Punjab,40,2003-04-01,432.1877151
Firozpur,9,3,Punjab,43,2003-04-01,465.2271171
Gurdaspur,1,3,Punjab,35,2003-04-01,343.1701936
Hoshiarpur,4,3,Punjab,38,2003-04-01,358.2976511
Jalandhar,3,3,Punjab,37,2003-04-01,384.8954491
Kapurthala,2,3,Punjab,36,2003-04-01,371.9319355
Ludhiana,7,3,Punjab,41,2003-04-01,448.245357
Mansa,13,3,Punjab,47,2003-04-01,470.6022089
Moga,8,3,Punjab,42,2003-04-01,467.1246343
Rupnagar,17,3,Punjab,51,2003-04-01,399.3150764
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2003-04-01,427.9989576
Sangrur,19,3,Punjab,53,2003-04-01,438.3195669
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2003-04-01,382.9862237
Tarn Taran,16,3,Punjab,50,2003-04-01,423.9846718
Nainital,11,5,Uttarakhand,66,2003-04-01,429.9038144
Pithoragarh,7,5,Uttarakhand,62,2003-04-01,251.7976115
Almora,9,5,Uttarakhand,64,2003-04-01,350.6058497
Bageshwar,8,5,Uttarakhand,63,2003-04-01,296.5258761
Chamoli,2,5,Uttarakhand,57,2003-04-01,243.4511569
Champawat,10,5,Uttarakhand,65,2003-04-01,379.2213615
Dehradun,5,5,Uttarakhand,60,2003-04-01,399.6655131
Garhwal,6,5,Uttarakhand,61,2003-04-01,384.8340939
Hardwar,13,5,Uttarakhand,68,2003-04-01,414.3954672
Rudraprayag,3,5,Uttarakhand,58,2003-04-01,288.9262431
Tehri Garhwal,4,5,Uttarakhand,59,2003-04-01,347.76525
Udham Singh Nagar,12,5,Uttarakhand,67,2003-04-01,402.5902035
Uttarkashi,1,5,Uttarakhand,56,2003-04-01,252.0027692
Palwal,21,6,Haryana,89,2003-04-01,470.9287285
Panchkula,1,6,Haryana,69,2003-04-01,440.258814
Panipat,7,6,Haryana,75,2003-04-01,472.6011418
Ambala,2,6,Haryana,70,2003-04-01,426.5831548
Bhiwani,13,6,Haryana,81,2003-04-01,513.2776609
Faridabad,20,6,Haryana,88,2003-04-01,472.1326261
Fatehabad,10,6,Haryana,78,2003-04-01,491.0758259
Gurgaon,18,6,Haryana,86,2003-04-01,480.6770321
Hisar,12,6,Haryana,80,2003-04-01,500.4113289
Jhajjar,15,6,Haryana,83,2003-04-01,458.9088344
Kaithal,5,6,Haryana,73,2003-04-01,504.5346506
Karnal,6,6,Haryana,74,2003-04-01,449.8305812
Kurukshetra,4,6,Haryana,72,2003-04-01,434.6579288
Mahendragarh,16,6,Haryana,84,2003-04-01,469.3207963
Mewat,19,6,Haryana,87,2003-04-01,487.1833985
Rewari,17,6,Haryana,85,2003-04-01,452.1344421
Rohtak,14,6,Haryana,82,2003-04-01,487.4125118
Sirsa,11,6,Haryana,79,2003-04-01,495.0646437
Sonipat,8,6,Haryana,76,2003-04-01,485.3239627
Yamunanagar,3,6,Haryana,71,2003-04-01,408.1060558
Jind,9,6,Haryana,77,2003-04-01,505.7245248
New Delhi,5,7,NCT of Delhi,94,2003-04-01,517.5896224
North,2,7,NCT of Delhi,91,2003-04-01,480.3078121
North East,3,7,NCT of Delhi,92,2003-04-01,493.3423609
North West,1,7,NCT of Delhi,90,2003-04-01,481.0678989
Central,6,7,NCT of Delhi,95,2003-04-01,496.5313331
East,4,7,NCT of Delhi,93,2003-04-01,510.7085106
South,9,7,NCT of Delhi,98,2003-04-01,529.1727394
South West,8,7,NCT of Delhi,97,2003-04-01,498.7902299
West,7,7,NCT of Delhi,96,2003-04-01,485.2501775
Nagaur,14,8,Rajasthan,112,2003-04-01,560.3364989
Pali,20,8,Rajasthan,118,2003-04-01,578.9179467
Pratapgarh,33,8,Rajasthan,131,2003-04-01,481.1216509
Ajmer,21,8,Rajasthan,119,2003-04-01,558.7447302
Alwar,6,8,Rajasthan,104,2003-04-01,487.6155846
Banswara,27,8,Rajasthan,125,2003-04-01,471.381149
Baran,30,8,Rajasthan,128,2003-04-01,561.674357
Barmer,17,8,Rajasthan,115,2003-04-01,645.4387641
Bharatpur,7,8,Rajasthan,105,2003-04-01,509.2537763
Bhilwara,24,8,Rajasthan,122,2003-04-01,550.8398343
Bikaner,3,8,Rajasthan,101,2003-04-01,579.3722017
Bundi,23,8,Rajasthan,121,2003-04-01,584.235821
Chittaurgarh,28,8,Rajasthan,126,2003-04-01,525.0083964
Churu,4,8,Rajasthan,102,2003-04-01,549.7442833
Dhaulpur,8,8,Rajasthan,106,2003-04-01,499.5776068
Dungarpur,26,8,Rajasthan,124,2003-04-01,517.3043113
Ganganagar,1,8,Rajasthan,99,2003-04-01,612.1338574
Hanumangarh,2,8,Rajasthan,100,2003-04-01,604.3442871
Jaipur,12,8,Rajasthan,110,2003-04-01,525.6880647
Jaisalmer,16,8,Rajasthan,114,2003-04-01,638.6580921
Jalor,18,8,Rajasthan,116,2003-04-01,566.3507701
Jhalawar,31,8,Rajasthan,129,2003-04-01,513.4825605
Jhunjhunun,5,8,Rajasthan,103,2003-04-01,498.3540984
Jodhpur,15,8,Rajasthan,113,2003-04-01,592.1084886
Kota,29,8,Rajasthan,127,2003-04-01,554.9959729
Rajsamand,25,8,Rajasthan,123,2003-04-01,525.7522753
Sikar,13,8,Rajasthan,111,2003-04-01,509.5681327
Sirohi,19,8,Rajasthan,117,2003-04-01,552.3075784
Tonk,22,8,Rajasthan,120,2003-04-01,585.3482693
Udaipur,32,8,Rajasthan,130,2003-04-01,506.6358469
Dausa,11,8,Rajasthan,109,2003-04-01,524.3861902
Karauli,9,8,Rajasthan,107,2003-04-01,532.1409824
Sawai Madhopur,10,8,Rajasthan,108,2003-04-01,554.8029211
Muzaffarnagar,2,9,Uttar Pradesh,133,2003-04-01,439.6917466
Pilibhit,20,9,Uttar Pradesh,151,2003-04-01,435.1881872
Pratapgarh,42,9,Uttar Pradesh,173,2003-04-01,485.80971
Rae Bareli,27,9,Uttar Pradesh,158,2003-04-01,465.4171727
Agra,15,9,Uttar Pradesh,146,2003-04-01,481.5125461
Aligarh,12,9,Uttar Pradesh,143,2003-04-01,458.7299291
Allahabad,44,9,Uttar Pradesh,175,2003-04-01,505.3678336
Ambedkar Nagar,47,9,Uttar Pradesh,178,2003-04-01,522.8840847
Auraiya,31,9,Uttar Pradesh,162,2003-04-01,430.0640169
Azamgarh,60,9,Uttar Pradesh,191,2003-04-01,505.3062896
Baghpat,8,9,Uttar Pradesh,139,2003-04-01,507.3386221
Bahraich,49,9,Uttar Pradesh,180,2003-04-01,478.081519
Ballia,62,9,Uttar Pradesh,193,2003-04-01,443.2865751
Balrampur,51,9,Uttar Pradesh,182,2003-04-01,479.9066669
Banda,39,9,Uttar Pradesh,170,2003-04-01,511.434784
Bara Banki,45,9,Uttar Pradesh,176,2003-04-01,489.8572315
Bareilly,19,9,Uttar Pradesh,150,2003-04-01,460.7238749
Basti,54,9,Uttar Pradesh,185,2003-04-01,514.4574005
Bijnor,3,9,Uttar Pradesh,134,2003-04-01,421.9327576
Budaun,18,9,Uttar Pradesh,149,2003-04-01,473.6725133
Bulandshahr,11,9,Uttar Pradesh,142,2003-04-01,431.6479858
Chandauli,65,9,Uttar Pradesh,196,2003-04-01,511.2295303
Chitrakoot,40,9,Uttar Pradesh,171,2003-04-01,552.1594419
Deoria,59,9,Uttar Pradesh,190,2003-04-01,464.6896154
Etah,70,9,Uttar Pradesh,201,2003-04-01,457.5598527
Etawah,30,9,Uttar Pradesh,161,2003-04-01,444.4617498
Faizabad,46,9,Uttar Pradesh,177,2003-04-01,494.0055915
Farrukhabad,28,9,Uttar Pradesh,159,2003-04-01,466.0706556
Fatehpur,41,9,Uttar Pradesh,172,2003-04-01,497.2046152
Firozabad,16,9,Uttar Pradesh,147,2003-04-01,474.6858142
Gautam Buddha Nagar,10,9,Uttar Pradesh,141,2003-04-01,446.8492457
Ghaziabad,9,9,Uttar Pradesh,140,2003-04-01,479.679716
Ghazipur,64,9,Uttar Pradesh,195,2003-04-01,450.3347306
Gonda,52,9,Uttar Pradesh,183,2003-04-01,493.901952
Gorakhpur,57,9,Uttar Pradesh,188,2003-04-01,458.4654707
Hamirpur,37,9,Uttar Pradesh,168,2003-04-01,503.3980561
Hardoi,24,9,Uttar Pradesh,155,2003-04-01,476.8432083
Mahamaya Nagar,13,9,Uttar Pradesh,144,2003-04-01,471.1288544
Jalaun,34,9,Uttar Pradesh,165,2003-04-01,455.527767
Jaunpur,63,9,Uttar Pradesh,194,2003-04-01,503.2445905
Jhansi,35,9,Uttar Pradesh,166,2003-04-01,500.4152927
Jyotiba Phule Nagar,6,9,Uttar Pradesh,137,2003-04-01,436.1487983
Kannauj,29,9,Uttar Pradesh,160,2003-04-01,467.8835106
Kanpur Dehat,32,9,Uttar Pradesh,163,2003-04-01,431.334689
Kanpur Nagar,33,9,Uttar Pradesh,164,2003-04-01,469.459983
Kansiram Nagar,71,9,Uttar Pradesh,202,2003-04-01,470.5869381
Kaushambi,43,9,Uttar Pradesh,174,2003-04-01,509.5179252
Kheri,22,9,Uttar Pradesh,153,2003-04-01,463.0100474
Kushinagar,58,9,Uttar Pradesh,189,2003-04-01,460.1881861
Lalitpur,36,9,Uttar Pradesh,167,2003-04-01,499.322069
Lucknow,26,9,Uttar Pradesh,157,2003-04-01,481.5701067
Maharajganj,56,9,Uttar Pradesh,187,2003-04-01,461.9261273
Mahoba,38,9,Uttar Pradesh,169,2003-04-01,508.8679754
Mainpuri,17,9,Uttar Pradesh,148,2003-04-01,432.0955366
Mathura,14,9,Uttar Pradesh,145,2003-04-01,470.2972433
Mau,61,9,Uttar Pradesh,192,2003-04-01,448.0720273
Meerut,7,9,Uttar Pradesh,138,2003-04-01,464.2256328
Mirzapur,68,9,Uttar Pradesh,199,2003-04-01,543.323401
Moradabad,4,9,Uttar Pradesh,135,2003-04-01,464.0209047
Rampur,5,9,Uttar Pradesh,136,2003-04-01,458.9345718
Saharanpur,1,9,Uttar Pradesh,132,2003-04-01,409.3160237
Sant Kabir Nagar,55,9,Uttar Pradesh,186,2003-04-01,512.6653187
Sant Ravi Das Nagar(bhadohi),67,9,Uttar Pradesh,198,2003-04-01,458.4699862
Shahjahanpur,21,9,Uttar Pradesh,152,2003-04-01,493.8614867
Shrawasti,50,9,Uttar Pradesh,181,2003-04-01,491.5225855
Siddharth Nagar,53,9,Uttar Pradesh,184,2003-04-01,475.7695475
Sitapur,23,9,Uttar Pradesh,154,2003-04-01,499.7815421
Sonbhadra,69,9,Uttar Pradesh,200,2003-04-01,590.5420903
Sultanpur,48,9,Uttar Pradesh,179,2003-04-01,504.2107777
Unnao,25,9,Uttar Pradesh,156,2003-04-01,462.2036459
Varanasi,66,9,Uttar Pradesh,197,2003-04-01,461.6549207
Munger,24,10,Bihar,226,2003-04-01,514.9900237
Muzaffarpur,14,10,Bihar,216,2003-04-01,447.8614081
Nalanda,27,10,Bihar,229,2003-04-01,449.303749
