DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2000-10-01,577.8567446
Daman,2,25,Daman & Diu,495,2000-10-01,441.3397779
Diu,1,25,Daman & Diu,494,2000-10-01,360.5629275
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2000-10-01,398.3956465
South Goa,2,30,Goa,586,2000-10-01,540.0187005
North Goa,1,30,Goa,585,2000-10-01,605.2160444
Lakshadweep,1,31,Lakshadweep,587,2000-10-01,286.2073431
Data Not Available,99,99,Jammu & Kashmir,0,2000-10-01,84.1036098
Ramban,17,1,Jammu & Kashmir,17,2000-10-01,161.8928821
Reasi,20,1,Jammu & Kashmir,20,2000-10-01,202.2569424
Samba,22,1,Jammu & Kashmir,22,2000-10-01,368.5973821
Shupiyan,13,1,Jammu & Kashmir,13,2000-10-01,170.4977007
Srinagar,10,1,Jammu & Kashmir,10,2000-10-01,168.2685263
Udhampur,19,1,Jammu & Kashmir,19,2000-10-01,186.7552274
Anantnag,14,1,Jammu & Kashmir,14,2000-10-01,109.4423336
Badgam,2,1,Jammu & Kashmir,2,2000-10-01,161.0554929
Bandipore,9,1,Jammu & Kashmir,9,2000-10-01,103.3328071
Baramula,8,1,Jammu & Kashmir,8,2000-10-01,187.8439145
Doda,16,1,Jammu & Kashmir,16,2000-10-01,190.9990663
Ganderbal,11,1,Jammu & Kashmir,11,2000-10-01,67.66715364
Jammu,21,1,Jammu & Kashmir,21,2000-10-01,396.2701864
Kargil,4,1,Jammu & Kashmir,4,2000-10-01,38.3277046
Kathua,7,1,Jammu & Kashmir,7,2000-10-01,282.3169878
Kishtwar,18,1,Jammu & Kashmir,18,2000-10-01,81.99188549
Kulgam,15,1,Jammu & Kashmir,15,2000-10-01,146.2202905
Kupwara,1,1,Jammu & Kashmir,1,2000-10-01,156.6374226
Leh (ladakh),3,1,Jammu & Kashmir,3,2000-10-01,24.04468591
Pulwama,12,1,Jammu & Kashmir,12,2000-10-01,164.9770274
Punch,5,1,Jammu & Kashmir,5,2000-10-01,164.4439782
Rajouri,6,1,Jammu & Kashmir,6,2000-10-01,216.4023498
Shimla,11,2,Himachal Pradesh,33,2000-10-01,131.6360376
Sirmaur,10,2,Himachal Pradesh,32,2000-10-01,260.0391209
Solan,9,2,Himachal Pradesh,31,2000-10-01,287.8093298
Una,7,2,Himachal Pradesh,29,2000-10-01,495.1617657
Bilaspur,8,2,Himachal Pradesh,30,2000-10-01,366.4829711
Chamba,1,2,Himachal Pradesh,23,2000-10-01,107.2214182
Hamirpur,6,2,Himachal Pradesh,28,2000-10-01,367.9089721
Kangra,2,2,Himachal Pradesh,24,2000-10-01,298.4809057
Kinnaur,12,2,Himachal Pradesh,34,2000-10-01,42.50831834
Kullu,4,2,Himachal Pradesh,26,2000-10-01,85.23778816
Lahul & Spiti,3,2,Himachal Pradesh,25,2000-10-01,28.9318983
Mandi,5,2,Himachal Pradesh,27,2000-10-01,182.9041384
Rupnagar,17,3,Punjab,51,2000-10-01,560.7703961
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2000-10-01,587.6558269
Sangrur,19,3,Punjab,53,2000-10-01,808.1282063
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2000-10-01,647.0823099
Tarn Taran,16,3,Punjab,50,2000-10-01,634.4929694
Amritsar,15,3,Punjab,49,2000-10-01,710.201174
Barnala,20,3,Punjab,54,2000-10-01,695.0055929
