DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2002-07-01,1378.807878
Daman,2,25,Daman & Diu,495,2002-07-01,1237.075308
South Goa,2,30,Goa,586,2002-07-01,803.1547839
North Goa,1,30,Goa,585,2002-07-01,369.3599796
Lakshadweep,1,31,Lakshadweep,587,2002-07-01,417.8752113
Data Not Available,99,99,Jammu & Kashmir,0,2002-07-01,131.5424615
Ramban,17,1,Jammu & Kashmir,17,2002-07-01,330.3220649
Reasi,20,1,Jammu & Kashmir,20,2002-07-01,420.6000589
Samba,22,1,Jammu & Kashmir,22,2002-07-01,763.332996
Shupiyan,13,1,Jammu & Kashmir,13,2002-07-01,288.2906746
Srinagar,10,1,Jammu & Kashmir,10,2002-07-01,292.2509873
Udhampur,19,1,Jammu & Kashmir,19,2002-07-01,420.7611559
Kargil,4,1,Jammu & Kashmir,4,2002-07-01,52.39028201
Kathua,7,1,Jammu & Kashmir,7,2002-07-01,569.5711993
Kishtwar,18,1,Jammu & Kashmir,18,2002-07-01,149.5412968
Kulgam,15,1,Jammu & Kashmir,15,2002-07-01,307.7971405
Kupwara,1,1,Jammu & Kashmir,1,2002-07-01,267.3554613
Leh (ladakh),3,1,Jammu & Kashmir,3,2002-07-01,25.98419624
Pulwama,12,1,Jammu & Kashmir,12,2002-07-01,285.1824869
Punch,5,1,Jammu & Kashmir,5,2002-07-01,379.3880415
Rajouri,6,1,Jammu & Kashmir,6,2002-07-01,447.5075117
Anantnag,14,1,Jammu & Kashmir,14,2002-07-01,249.6777617
Badgam,2,1,Jammu & Kashmir,2,2002-07-01,286.5971858
Bandipore,9,1,Jammu & Kashmir,9,2002-07-01,228.3791862
Baramula,8,1,Jammu & Kashmir,8,2002-07-01,281.2798097
Doda,16,1,Jammu & Kashmir,16,2002-07-01,353.7066068
Ganderbal,11,1,Jammu & Kashmir,11,2002-07-01,147.9086576
Jammu,21,1,Jammu & Kashmir,21,2002-07-01,811.87464
Shimla,11,2,Himachal Pradesh,33,2002-07-01,342.2775673
Sirmaur,10,2,Himachal Pradesh,32,2002-07-01,568.3867083
Solan,9,2,Himachal Pradesh,31,2002-07-01,590.6959612
Una,7,2,Himachal Pradesh,29,2002-07-01,737.418677
Kangra,2,2,Himachal Pradesh,24,2002-07-01,493.7329821
Kinnaur,12,2,Himachal Pradesh,34,2002-07-01,68.62287936
Kullu,4,2,Himachal Pradesh,26,2002-07-01,218.9403608
Lahul & Spiti,3,2,Himachal Pradesh,25,2002-07-01,30.72640345
Mandi,5,2,Himachal Pradesh,27,2002-07-01,414.8395105
Bilaspur,8,2,Himachal Pradesh,30,2002-07-01,778.4993379
Chamba,1,2,Himachal Pradesh,23,2002-07-01,246.9083288
Hamirpur,6,2,Himachal Pradesh,28,2002-07-01,518.408486
Rupnagar,17,3,Punjab,51,2002-07-01,1188.73027
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2002-07-01,1238.39953
Sangrur,19,3,Punjab,53,2002-07-01,1503.68447
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2002-07-01,1306.797905
Tarn Taran,16,3,Punjab,50,2002-07-01,1358.289624
Kapurthala,2,3,Punjab,36,2002-07-01,1357.622962
Ludhiana,7,3,Punjab,41,2002-07-01,1442.225185
Mansa,13,3,Punjab,47,2002-07-01,1571.280408
Moga,8,3,Punjab,42,2002-07-01,1476.578548
Muktsar,10,3,Punjab,44,2002-07-01,1647.201926
Patiala,14,3,Punjab,48,2002-07-01,1451.856699
Amritsar,15,3,Punjab,49,2002-07-01,1306.358645
Barnala,20,3,Punjab,54,2002-07-01,1454.123386
Bathinda,12,3,Punjab,46,2002-07-01,1621.097843
Faridkot,11,3,Punjab,45,2002-07-01,1475.096589
Fatehgarh Sahib,6,3,Punjab,40,2002-07-01,1517.435171
Firozpur,9,3,Punjab,43,2002-07-01,1485.200799
Gurdaspur,1,3,Punjab,35,2002-07-01,1104.305654
Hoshiarpur,4,3,Punjab,38,2002-07-01,1148.227287
Jalandhar,3,3,Punjab,37,2002-07-01,1392.219823
Rudraprayag,3,5,Uttarakhand,58,2002-07-01,376.6042698
Tehri Garhwal,4,5,Uttarakhand,59,2002-07-01,433.3956915
Udham Singh Nagar,12,5,Uttarakhand,67,2002-07-01,1465.117146
Uttarkashi,1,5,Uttarakhand,56,2002-07-01,182.5614961
Nainital,11,5,Uttarakhand,66,2002-07-01,969.0614675
Pithoragarh,7,5,Uttarakhand,62,2002-07-01,185.3509568
Almora,9,5,Uttarakhand,64,2002-07-01,380.5092501
Bageshwar,8,5,Uttarakhand,63,2002-07-01,354.1876562
Chamoli,2,5,Uttarakhand,57,2002-07-01,157.3601874
Champawat,10,5,Uttarakhand,65,2002-07-01,550.4855419
Dehradun,5,5,Uttarakhand,60,2002-07-01,585.8531464
Garhwal,6,5,Uttarakhand,61,2002-07-01,546.3611347
Hardwar,13,5,Uttarakhand,68,2002-07-01,1328.133748
Rewari,17,6,Haryana,85,2002-07-01,1082.761963
Rohtak,14,6,Haryana,82,2002-07-01,1291.140315
Sirsa,11,6,Haryana,79,2002-07-01,1644.145439
Sonipat,8,6,Haryana,76,2002-07-01,1333.266173
Yamunanagar,3,6,Haryana,71,2002-07-01,1265.427729
Jind,9,6,Haryana,77,2002-07-01,1413.262783
Kaithal,5,6,Haryana,73,2002-07-01,1458.978677
Karnal,6,6,Haryana,74,2002-07-01,1432.930592
Kurukshetra,4,6,Haryana,72,2002-07-01,1478.494854
Mahendragarh,16,6,Haryana,84,2002-07-01,912.7620918
Mewat,19,6,Haryana,87,2002-07-01,1132.820572
Palwal,21,6,Haryana,89,2002-07-01,1140.000615
Panchkula,1,6,Haryana,69,2002-07-01,935.1186313
Panipat,7,6,Haryana,75,2002-07-01,1408.769642
Ambala,2,6,Haryana,70,2002-07-01,1316.961504
Bhiwani,13,6,Haryana,81,2002-07-01,1100.983056
Faridabad,20,6,Haryana,88,2002-07-01,1259.137626
Fatehabad,10,6,Haryana,78,2002-07-01,1560.102332
Gurgaon,18,6,Haryana,86,2002-07-01,1165.365751
Hisar,12,6,Haryana,80,2002-07-01,1397.651632
Jhajjar,15,6,Haryana,83,2002-07-01,1146.746833
South,9,7,NCT of Delhi,98,2002-07-01,1042.692917
South West,8,7,NCT of Delhi,97,2002-07-01,1148.53419
West,7,7,NCT of Delhi,96,2002-07-01,1148.401536
New Delhi,5,7,NCT of Delhi,94,2002-07-01,1058.026032
North,2,7,NCT of Delhi,91,2002-07-01,1153.921325
North East,3,7,NCT of Delhi,92,2002-07-01,1141.562017
North West,1,7,NCT of Delhi,90,2002-07-01,1209.323111
Central,6,7,NCT of Delhi,95,2002-07-01,1052.485228
East,4,7,NCT of Delhi,93,2002-07-01,1084.28108
Rajsamand,25,8,Rajasthan,123,2002-07-01,785.0668675
Sikar,13,8,Rajasthan,111,2002-07-01,899.4500922
Sirohi,19,8,Rajasthan,117,2002-07-01,666.1418034
Tonk,22,8,Rajasthan,120,2002-07-01,715.9425661
Udaipur,32,8,Rajasthan,130,2002-07-01,891.0813032
Dausa,11,8,Rajasthan,109,2002-07-01,874.2460162
Karauli,9,8,Rajasthan,107,2002-07-01,824.3327697
Sawai Madhopur,10,8,Rajasthan,108,2002-07-01,872.9074055
Kota,29,8,Rajasthan,127,2002-07-01,537.8165954
Nagaur,14,8,Rajasthan,112,2002-07-01,774.9333322
Pali,20,8,Rajasthan,118,2002-07-01,733.9252904
Pratapgarh,33,8,Rajasthan,131,2002-07-01,537.8578045
Ajmer,21,8,Rajasthan,119,2002-07-01,717.4424773
Alwar,6,8,Rajasthan,104,2002-07-01,942.5931552
Banswara,27,8,Rajasthan,125,2002-07-01,650.6916133
Baran,30,8,Rajasthan,128,2002-07-01,519.4725556
Barmer,17,8,Rajasthan,115,2002-07-01,959.1475407
Bharatpur,7,8,Rajasthan,105,2002-07-01,920.9898186
Bhilwara,24,8,Rajasthan,122,2002-07-01,698.7917837
Bikaner,3,8,Rajasthan,101,2002-07-01,1233.938976
Bundi,23,8,Rajasthan,121,2002-07-01,577.1612291
Chittaurgarh,28,8,Rajasthan,126,2002-07-01,655.2257776
Churu,4,8,Rajasthan,102,2002-07-01,965.1597286
Dhaulpur,8,8,Rajasthan,106,2002-07-01,872.4295085
Dungarpur,26,8,Rajasthan,124,2002-07-01,686.2548056
Ganganagar,1,8,Rajasthan,99,2002-07-01,1643.896972
Hanumangarh,2,8,Rajasthan,100,2002-07-01,1498.347127
Jaipur,12,8,Rajasthan,110,2002-07-01,836.5344033
Jaisalmer,16,8,Rajasthan,114,2002-07-01,1290.808894
Jalor,18,8,Rajasthan,116,2002-07-01,622.1437686
Jhalawar,31,8,Rajasthan,129,2002-07-01,605.9296754
Jhunjhunun,5,8,Rajasthan,103,2002-07-01,908.3150059
Jodhpur,15,8,Rajasthan,113,2002-07-01,970.7403083
Rampur,5,9,Uttar Pradesh,136,2002-07-01,1429.524834
Saharanpur,1,9,Uttar Pradesh,132,2002-07-01,1297.164024
Sant Kabir Nagar,55,9,Uttar Pradesh,186,2002-07-01,1388.202996
Sant Ravi Das Nagar(bhadohi),67,9,Uttar Pradesh,198,2002-07-01,1067.070324
Shahjahanpur,21,9,Uttar Pradesh,152,2002-07-01,1536.778773
Shrawasti,50,9,Uttar Pradesh,181,2002-07-01,1430.974287
Siddharth Nagar,53,9,Uttar Pradesh,184,2002-07-01,1552.729781
Sitapur,23,9,Uttar Pradesh,154,2002-07-01,1520.468459
Sonbhadra,69,9,Uttar Pradesh,200,2002-07-01,828.3725662
Sultanpur,48,9,Uttar Pradesh,179,2002-07-01,1380.450546
Unnao,25,9,Uttar Pradesh,156,2002-07-01,1341.784702
Varanasi,66,9,Uttar Pradesh,197,2002-07-01,966.4072344
Jyotiba Phule Nagar,6,9,Uttar Pradesh,137,2002-07-01,1481.058444
Kannauj,29,9,Uttar Pradesh,160,2002-07-01,1208.24203
Kanpur Dehat,32,9,Uttar Pradesh,163,2002-07-01,1202.107168
Kanpur Nagar,33,9,Uttar Pradesh,164,2002-07-01,1273.803422
Kansiram Nagar,71,9,Uttar Pradesh,202,2002-07-01,1275.861093
Kaushambi,43,9,Uttar Pradesh,174,2002-07-01,1294.883616
Kheri,22,9,Uttar Pradesh,153,2002-07-01,1480.201535
Kushinagar,58,9,Uttar Pradesh,189,2002-07-01,1525.181919
Lalitpur,36,9,Uttar Pradesh,167,2002-07-01,1137.562052
Lucknow,26,9,Uttar Pradesh,157,2002-07-01,1253.701672
Maharajganj,56,9,Uttar Pradesh,187,2002-07-01,1327.19842
Mahoba,38,9,Uttar Pradesh,169,2002-07-01,928.3418258
Mainpuri,17,9,Uttar Pradesh,148,2002-07-01,1220.824185
Mathura,14,9,Uttar Pradesh,145,2002-07-01,1070.89541
Mau,61,9,Uttar Pradesh,192,2002-07-01,1240.770222
Meerut,7,9,Uttar Pradesh,138,2002-07-01,1435.886299
