DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2003-10-01,491.2227396
Daman,2,25,Daman & Diu,495,2003-10-01,414.6096671
Diu,1,25,Daman & Diu,494,2003-10-01,419.069983
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2003-10-01,357.7064714
South Goa,2,30,Goa,586,2003-10-01,454.004121
North Goa,1,30,Goa,585,2003-10-01,497.6509595
Lakshadweep,1,31,Lakshadweep,587,2003-10-01,277.397529
Data Not Available,99,99,Jammu & Kashmir,0,2003-10-01,94.24303983
Ramban,17,1,Jammu & Kashmir,17,2003-10-01,144.6646929
Reasi,20,1,Jammu & Kashmir,20,2003-10-01,182.4159043
Samba,22,1,Jammu & Kashmir,22,2003-10-01,320.79949
Shupiyan,13,1,Jammu & Kashmir,13,2003-10-01,165.0827273
Srinagar,10,1,Jammu & Kashmir,10,2003-10-01,203.1545219
Udhampur,19,1,Jammu & Kashmir,19,2003-10-01,169.4949166
Anantnag,14,1,Jammu & Kashmir,14,2003-10-01,143.1512268
Badgam,2,1,Jammu & Kashmir,2,2003-10-01,192.2955841
Bandipore,9,1,Jammu & Kashmir,9,2003-10-01,110.0387584
Baramula,8,1,Jammu & Kashmir,8,2003-10-01,192.689833
Doda,16,1,Jammu & Kashmir,16,2003-10-01,123.1487368
Ganderbal,11,1,Jammu & Kashmir,11,2003-10-01,89.3278926
Jammu,21,1,Jammu & Kashmir,21,2003-10-01,333.9265744
Kargil,4,1,Jammu & Kashmir,4,2003-10-01,39.71668234
Kathua,7,1,Jammu & Kashmir,7,2003-10-01,231.0447044
Kishtwar,18,1,Jammu & Kashmir,18,2003-10-01,67.28914037
Kulgam,15,1,Jammu & Kashmir,15,2003-10-01,157.8039421
Kupwara,1,1,Jammu & Kashmir,1,2003-10-01,137.6743828
Leh (ladakh),3,1,Jammu & Kashmir,3,2003-10-01,24.99581335
Pulwama,12,1,Jammu & Kashmir,12,2003-10-01,204.8146385
Punch,5,1,Jammu & Kashmir,5,2003-10-01,182.8113878
Rajouri,6,1,Jammu & Kashmir,6,2003-10-01,208.7654629
Shimla,11,2,Himachal Pradesh,33,2003-10-01,113.2970524
Sirmaur,10,2,Himachal Pradesh,32,2003-10-01,207.3369347
Solan,9,2,Himachal Pradesh,31,2003-10-01,249.0148498
Una,7,2,Himachal Pradesh,29,2003-10-01,377.2379089
Bilaspur,8,2,Himachal Pradesh,30,2003-10-01,288.5380829
Chamba,1,2,Himachal Pradesh,23,2003-10-01,91.5090772
Hamirpur,6,2,Himachal Pradesh,28,2003-10-01,265.9540172
Kangra,2,2,Himachal Pradesh,24,2003-10-01,230.0627596
Kinnaur,12,2,Himachal Pradesh,34,2003-10-01,45.16158911
Kullu,4,2,Himachal Pradesh,26,2003-10-01,76.30724826
Lahul & Spiti,3,2,Himachal Pradesh,25,2003-10-01,29.00078376
Mandi,5,2,Himachal Pradesh,27,2003-10-01,152.3005848
Rupnagar,17,3,Punjab,51,2003-10-01,510.981383
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2003-10-01,524.2446343
Sangrur,19,3,Punjab,53,2003-10-01,874.3312118
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2003-10-01,626.7666434
Tarn Taran,16,3,Punjab,50,2003-10-01,742.8927828
Amritsar,15,3,Punjab,49,2003-10-01,665.1159743
Barnala,20,3,Punjab,54,2003-10-01,971.2312744
Bathinda,12,3,Punjab,46,2003-10-01,953.7115712
Faridkot,11,3,Punjab,45,2003-10-01,870.9566929
Fatehgarh Sahib,6,3,Punjab,40,2003-10-01,734.2617739
Firozpur,9,3,Punjab,43,2003-10-01,813.269465
Gurdaspur,1,3,Punjab,35,2003-10-01,480.6677438
Hoshiarpur,4,3,Punjab,38,2003-10-01,510.803066
Jalandhar,3,3,Punjab,37,2003-10-01,761.3917598
Kapurthala,2,3,Punjab,36,2003-10-01,745.4943913
Ludhiana,7,3,Punjab,41,2003-10-01,844.4258799
Mansa,13,3,Punjab,47,2003-10-01,915.784177
Moga,8,3,Punjab,42,2003-10-01,894.9430921
Muktsar,10,3,Punjab,44,2003-10-01,871.4879554
Patiala,14,3,Punjab,48,2003-10-01,781.5183356
Rudraprayag,3,5,Uttarakhand,58,2003-10-01,87.88104221
Tehri Garhwal,4,5,Uttarakhand,59,2003-10-01,115.4139149
Udham Singh Nagar,12,5,Uttarakhand,67,2003-10-01,363.3009933
Uttarkashi,1,5,Uttarakhand,56,2003-10-01,64.72428343
Almora,9,5,Uttarakhand,64,2003-10-01,119.4498709
Bageshwar,8,5,Uttarakhand,63,2003-10-01,89.12022796
Chamoli,2,5,Uttarakhand,57,2003-10-01,60.72587083
Champawat,10,5,Uttarakhand,65,2003-10-01,119.6034758
Dehradun,5,5,Uttarakhand,60,2003-10-01,190.1105492
Garhwal,6,5,Uttarakhand,61,2003-10-01,173.2923119
Hardwar,13,5,Uttarakhand,68,2003-10-01,392.4097461
Nainital,11,5,Uttarakhand,66,2003-10-01,212.0560413
Pithoragarh,7,5,Uttarakhand,62,2003-10-01,57.09010242
Rewari,17,6,Haryana,85,2003-10-01,875.7199413
Rohtak,14,6,Haryana,82,2003-10-01,992.0667832
Sirsa,11,6,Haryana,79,2003-10-01,867.5016968
Sonipat,8,6,Haryana,76,2003-10-01,1084.727255
Yamunanagar,3,6,Haryana,71,2003-10-01,457.6975758
Jind,9,6,Haryana,77,2003-10-01,916.6603596
Ambala,2,6,Haryana,70,2003-10-01,558.0568876
Bhiwani,13,6,Haryana,81,2003-10-01,851.2280934
Faridabad,20,6,Haryana,88,2003-10-01,1038.956386
Fatehabad,10,6,Haryana,78,2003-10-01,898.1940246
Gurgaon,18,6,Haryana,86,2003-10-01,969.7265367
Hisar,12,6,Haryana,80,2003-10-01,855.7283801
Jhajjar,15,6,Haryana,83,2003-10-01,1080.298701
Kaithal,5,6,Haryana,73,2003-10-01,864.4957979
