DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2001-04-01,352.4953421
Daman,2,25,Daman & Diu,495,2001-04-01,407.4595566
Diu,1,25,Daman & Diu,494,2001-04-01,459.2098863
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2001-04-01,530.2078814
North Goa,1,30,Goa,585,2001-04-01,489.9279626
South Goa,2,30,Goa,586,2001-04-01,487.3173069
Lakshadweep,1,31,Lakshadweep,587,2001-04-01,417.7233377
Data Not Available,99,99,Jammu & Kashmir,0,2001-04-01,151.3017056
Anantnag,14,1,Jammu & Kashmir,14,2001-04-01,233.7929947
Badgam,2,1,Jammu & Kashmir,2,2001-04-01,228.9512278
Bandipore,9,1,Jammu & Kashmir,9,2001-04-01,230.7619617
Baramula,8,1,Jammu & Kashmir,8,2001-04-01,255.3020323
Doda,16,1,Jammu & Kashmir,16,2001-04-01,185.7368177
Ganderbal,11,1,Jammu & Kashmir,11,2001-04-01,250.6526843
Jammu,21,1,Jammu & Kashmir,21,2001-04-01,228.1610912
Kargil,4,1,Jammu & Kashmir,4,2001-04-01,39.57365326
Kathua,7,1,Jammu & Kashmir,7,2001-04-01,253.0519284
Kishtwar,18,1,Jammu & Kashmir,18,2001-04-01,205.5408159
Kulgam,15,1,Jammu & Kashmir,15,2001-04-01,210.9673261
Kupwara,1,1,Jammu & Kashmir,1,2001-04-01,195.7442611
Leh (ladakh),3,1,Jammu & Kashmir,3,2001-04-01,22.94833126
Pulwama,12,1,Jammu & Kashmir,12,2001-04-01,249.1638117
Punch,5,1,Jammu & Kashmir,5,2001-04-01,234.2877655
Rajouri,6,1,Jammu & Kashmir,6,2001-04-01,236.6620519
Ramban,17,1,Jammu & Kashmir,17,2001-04-01,179.3999219
Reasi,20,1,Jammu & Kashmir,20,2001-04-01,222.7778141
Samba,22,1,Jammu & Kashmir,22,2001-04-01,222.7702326
Shupiyan,13,1,Jammu & Kashmir,13,2001-04-01,192.2136131
Srinagar,10,1,Jammu & Kashmir,10,2001-04-01,233.0639484
Udhampur,19,1,Jammu & Kashmir,19,2001-04-01,234.5265737
Bilaspur,8,2,Himachal Pradesh,30,2001-04-01,292.016834
Chamba,1,2,Himachal Pradesh,23,2001-04-01,272.5615677
Hamirpur,6,2,Himachal Pradesh,28,2001-04-01,282.7018906
Kangra,2,2,Himachal Pradesh,24,2001-04-01,275.2510617
