DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2001-07-01,1027.760804
Daman,2,25,Daman & Diu,495,2001-07-01,20
South Goa,2,30,Goa,586,2001-07-01,876.5918304
North Goa,1,30,Goa,585,2001-07-01,1190.27325
Lakshadweep,1,31,Lakshadweep,587,2001-07-01,534.1412382
Data Not Available,99,99,Jammu & Kashmir,0,2001-07-01,102.6793189
Ramban,17,1,Jammu & Kashmir,17,2001-07-01,265.477857
Reasi,20,1,Jammu & Kashmir,20,2001-07-01,309.2750452
Samba,22,1,Jammu & Kashmir,22,2001-07-01,544.6238677
Shupiyan,13,1,Jammu & Kashmir,13,2001-07-01,265.9387835
Srinagar,10,1,Jammu & Kashmir,10,2001-07-01,250.7832923
Udhampur,19,1,Jammu & Kashmir,19,2001-07-01,365.0590235
Kargil,4,1,Jammu & Kashmir,4,2001-07-01,47.17166852
Kathua,7,1,Jammu & Kashmir,7,2001-07-01,493.7612761
Kishtwar,18,1,Jammu & Kashmir,18,2001-07-01,111.7105772
Kulgam,15,1,Jammu & Kashmir,15,2001-07-01,289.6864996
Kupwara,1,1,Jammu & Kashmir,1,2001-07-01,234.2910006
Leh (ladakh),3,1,Jammu & Kashmir,3,2001-07-01,23.35481468
Pulwama,12,1,Jammu & Kashmir,12,2001-07-01,275.6065358
Punch,5,1,Jammu & Kashmir,5,2001-07-01,332.2151276
Rajouri,6,1,Jammu & Kashmir,6,2001-07-01,319.7297438
Anantnag,14,1,Jammu & Kashmir,14,2001-07-01,233.0430191
Badgam,2,1,Jammu & Kashmir,2,2001-07-01,227.0022747
Bandipore,9,1,Jammu & Kashmir,9,2001-07-01,192.5016679
Baramula,8,1,Jammu & Kashmir,8,2001-07-01,254.5482916
Doda,16,1,Jammu & Kashmir,16,2001-07-01,308.7706294
Ganderbal,11,1,Jammu & Kashmir,11,2001-07-01,135.3909628
Jammu,21,1,Jammu & Kashmir,21,2001-07-01,483.858198
Shimla,11,2,Himachal Pradesh,33,2001-07-01,350.6230901
Sirmaur,10,2,Himachal Pradesh,32,2001-07-01,389.5079652
