DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2000-07-01,928.2781781
Diu,1,25,Daman & Diu,494,2000-07-01,333.8886203
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2000-07-01,20
South Goa,2,30,Goa,586,2000-07-01,430.9841949
North Goa,1,30,Goa,585,2000-07-01,441.709662
Lakshadweep,1,31,Lakshadweep,587,2000-07-01,448.2486321
Data Not Available,99,99,Jammu & Kashmir,0,2000-07-01,126.9240071
Ramban,17,1,Jammu & Kashmir,17,2000-07-01,369.4263835
Reasi,20,1,Jammu & Kashmir,20,2000-07-01,408.3899813
Samba,22,1,Jammu & Kashmir,22,2000-07-01,549.2559146
Shupiyan,13,1,Jammu & Kashmir,13,2000-07-01,283.1839021
Srinagar,10,1,Jammu & Kashmir,10,2000-07-01,295.3834227
Udhampur,19,1,Jammu & Kashmir,19,2000-07-01,388.0406635
Anantnag,14,1,Jammu & Kashmir,14,2000-07-01,260.7144252
Badgam,2,1,Jammu & Kashmir,2,2000-07-01,263.8968507
Bandipore,9,1,Jammu & Kashmir,9,2000-07-01,237.9547706
Baramula,8,1,Jammu & Kashmir,8,2000-07-01,259.5338134
Doda,16,1,Jammu & Kashmir,16,2000-07-01,366.3585752
Ganderbal,11,1,Jammu & Kashmir,11,2000-07-01,127.5205452
Jammu,21,1,Jammu & Kashmir,21,2000-07-01,679.1500429
Kargil,4,1,Jammu & Kashmir,4,2000-07-01,52.39090372
Kathua,7,1,Jammu & Kashmir,7,2000-07-01,552.8490271
Kishtwar,18,1,Jammu & Kashmir,18,2000-07-01,128.9580383
Kulgam,15,1,Jammu & Kashmir,15,2000-07-01,288.5755391
Kupwara,1,1,Jammu & Kashmir,1,2000-07-01,306.6504917
Leh (ladakh),3,1,Jammu & Kashmir,3,2000-07-01,25.80843789
Pulwama,12,1,Jammu & Kashmir,12,2000-07-01,288.8198699
Punch,5,1,Jammu & Kashmir,5,2000-07-01,427.7205663
Rajouri,6,1,Jammu & Kashmir,6,2000-07-01,466.999458
Shimla,11,2,Himachal Pradesh,33,2000-07-01,431.484665
Sirmaur,10,2,Himachal Pradesh,32,2000-07-01,267.3072898
Solan,9,2,Himachal Pradesh,31,2000-07-01,705.7760537
Una,7,2,Himachal Pradesh,29,2000-07-01,914.1375799
Bilaspur,8,2,Himachal Pradesh,30,2000-07-01,550.3082557
Chamba,1,2,Himachal Pradesh,23,2000-07-01,212.8758319
Hamirpur,6,2,Himachal Pradesh,28,2000-07-01,618.0378604
Kangra,2,2,Himachal Pradesh,24,2000-07-01,641.6188337
Kinnaur,12,2,Himachal Pradesh,34,2000-07-01,52.30391938
Kullu,4,2,Himachal Pradesh,26,2000-07-01,250.999974
Lahul & Spiti,3,2,Himachal Pradesh,25,2000-07-01,22.66227971
Mandi,5,2,Himachal Pradesh,27,2000-07-01,438.0427213
Rupnagar,17,3,Punjab,51,2000-07-01,1148.315496
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2000-07-01,962.8847851
Sangrur,19,3,Punjab,53,2000-07-01,970.3191284
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2000-07-01,1165.082514
Tarn Taran,16,3,Punjab,50,2000-07-01,764.9146257
Amritsar,15,3,Punjab,49,2000-07-01,830.3064714
Barnala,20,3,Punjab,54,2000-07-01,955.8264267
Bathinda,12,3,Punjab,46,2000-07-01,857.1887747
Faridkot,11,3,Punjab,45,2000-07-01,807.8457861
Fatehgarh Sahib,6,3,Punjab,40,2000-07-01,1265.224686
